,,Durham,England
Egglescliffe,,Durham,England
Eggleston,DL12,Durham,England
Eighton Banks,,Durham,England
Eldon,,Durham,England
Eldon Lane,,Durham,England
Elemore Vale,,Durham,England
Elland,,Durham,England
Elland Lower Edge,,Durham,England
Elland Upper Edge,,Durham,England
Elstob,TS21,Durham,England
Elswick,,Durham,England
Elton,TS21,Durham,England
Elvet Hill,,Durham,England
Elwick,TS27,Durham,England
Embleton,,Durham,England
Escomb,,Durham,England
Esh,DH7,Durham,England
Esh Winning,DH7,Durham,England
Esperley Lane Ends,,Durham,England
Etherley Dene,,Durham,England
Ettersgill,,Durham,England
Evenwood,DL14,Durham,England
Evenwood Gate,,Durham,England
Exley,,Durham,England
Fairfield,,Durham,England
Farringdon,,Durham,England
Fatfield,,Durham,England
Faverdale,,Durham,England
Felling,,Durham,England
Felling Shore,,Durham,England
Fellside,,Durham,England
Fence Houses,DH4,Durham,England
Ferryhill,DL17,Durham,England
Ferryhill Station,,Durham,England
Fir Tree,DL15,Durham,England
Firth Moor,,Durham,England
Fishburn,TS21,Durham,England
Fleming Field,,Durham,England
Flint Hill,,Durham,England
Follingsby,,Durham,England
Forest-in-Teesdale,DL12,Durham,England
Foxton,TS21,Durham,England
Framwellgate Moor,DH1,Durham,England
Friendly,,Durham,England
Frosterley,DL13,Durham,England
Fulthorpe,,Durham,England
Fulwell,,Durham,England
Gainford,DL2,Durham,England
Garmondsway,,Durham,England
Gateshead,NE16,Durham,England
Gaunless,,Durham,England
Gilesgate,,Durham,England
Gilesgate Moor,,Durham,England
Gilmonby,DL12,Durham,England
Girsby,DL2,Durham,England
Glebe,,Durham,England
Grange Hill,,Durham,England
Grange Villa,DH2,Durham,England
Grangetown,,Durham,England
Grasswell,,Durham,England
Great Burdon,,Durham,England
Great Chilton,,Durham,England
Great Eppleton,,Durham,England
Great Lumley,DH3,Durham,England
Great Stainton,TS21,Durham,England
Greatham,,Durham,England
Greencroft,,Durham,England
Greenhill,SR7,Durham,England
Greenside,,Durham,England
Greetland,,Durham,England
Greetland Wall Nook,,Durham,England
Greta,,Durham,England
Greta Bridge,DL12,Durham,England
Grindon,,Durham,England
Hallgarth,,Durham,England
Hamsterley,DL13,Durham,England
Hamsterley Forest,,Durham,England
Hardwick,,Durham,England
Harelaw,,Durham,England
Harlow Green,,Durham,England
Harperley,,Durham,England
Harraton,,Durham,England
Harrowgate Hill,,Durham,England
Harrowgate Village,,Durham,England
Hart,TS27,Durham,England
Hart Station,,Durham,England
Hartburn,,Durham,England
Hartlepool,TS27,Durham,England
Hartshead Moor Side,,Durham,England
Hartshead Moor Top,,Durham,England
Harwood,,Durham,England
Harwood Beck,,Durham,England
Hasting Hill,,Durham,England
Haswell,DH6,Durham,England
Haswell Moor,,Durham,England
Haswell Plough,,Durham,England
Haughton Le Skerne,,Durham,England
Haverton Hill,,Durham,England
Hawks Stones,,Durham,England
Hawthorn,SR7,Durham,England
Headlam,DL2,Durham,England
Healeyfield,DH8,Durham,England
Hebden Bridge,,Durham,England
Hedley Hill,,Durham,England
Heighington,DL5,Durham,England
Helmington Row,,Durham,England
Hemlington,,Durham,England
Hendon,,Durham,England
Heptonstall,,Durham,England
Hesleden,TS27,Durham,England
Hett,DH6,Durham,England
Hetton Downs,,Durham,England
Hetton-le-Hill,,Durham,England
Hetton-Le-Hole,,Durham,England
Heworth,,Durham,England
High Dubmire,,Durham,England
High Dyke,,Durham,England
High Etherley,DL14,Durham,England
High Forge,,Durham,England
High Friarside,,Durham,England
High Grange,DL15,Durham,England
High Handenhold,,Durham,England
High Haswell,,Durham,England
High Hesleden,TS27,Durham,England
High Leven,,Durham,England
High Moorsley,,Durham,England
High Shincliffe,,Durham,England
High Southwick,,Durham,England
High Spen,,Durham,England
High Stoop,,Durham,England
High Throston,,Durham,England
High Urpeth,,Durham,England
High Westwood,,Durham,England
Highfield,,Durham,England
Highroad Well Moor,,Durham,England
Hightown Heights,,Durham,England
Hill End,DL13,Durham,England
Hill Top,,Durham,England
Hillview,,Durham,England
Hilton,DL2,Durham,England
Hinden Beck,,Durham,England
Hipperholme,,Durham,England
Hobson,NE16,Durham,England
Holdsworth,,Durham,England
Hole Bottom,,Durham,England
Holmfield,,Durham,England
Holmside,DH7,Durham,England
Holwick,DL12,Durham,England
Holywell Green,,Durham,England
Hoo Hole,,Durham,England
Hooker Gate,,Durham,England
Horden,SR8,Durham,England
Horsleyhope,,Durham,England
Houghton Bank,DL2,Durham,England
Houghton-le-Side,DL2,Durham,England
Houghton-Le-Spring,DH4,Durham,England
Hove Edge,,Durham,England
Howden-le-Wear,DL15,Durham,England
Hubberton Green,,Durham,England
Humbledon,,Durham,England
Hummersknott,,Durham,England
Hunderthwaite,DL12,Durham,England
Hunstanworth,DH8,Durham,England
Hunwick,DL15,Durham,England
Hurworth Place,,Durham,England
Hurworth-on-Tees,DL2,Durham,England
Hury,DL12,Durham,England
Hury Reservoir,,Durham,England
Hutton Henry,TS27,Durham,England
Hutton Magna,DL11,Durham,England
Hylton Castle,,Durham,England
Hylton Red House,,Durham,England
Illingworth,,Durham,England
Ingleton,DL2,Durham,England
Inkerman,,Durham,England
Ireshopeburn,DL13,Durham,England
Iveston,DH8,Durham,England
Jagger Green,,Durham,England
Keakham Beck,,Durham,England
Kebroyd,,Durham,England
Kelloe,DH6,Durham,England
Kelton,,Durham,England
Kibblesworth,,Durham,England
Killerby,DL2,Durham,England
Kimblesworth,DH2,Durham,England
Kinninvie,DL12,Durham,England
Kip Hill,,Durham,England
Kirk Merrington,DL16,Durham,England
Kirklevington,,Durham,England
Knitsley,DH8,Durham,England
Knowl Wood,,Durham,England
Krumlin,,Durham,England
Lady Park,,Durham,England
Laithkirk,,Durham,England
Lambton,,Durham,England
Lamesley,,Durham,England
Lanchester,DH7,Durham,England
Lanehead,,Durham,England
Langdon Beck,DL12,Durham,England
Langley Moor,DH7,Durham,England
Langley Park,DH7,Durham,England
Langton,DL2,Durham,England
Lartington,DL12,Durham,England
Leadgate,DH8,Durham,England
Leamside,,Durham,England
Leasingthorne,,Durham,England
Leeholme,,Durham,England
Lemington,,Durham,England
Leven,,Durham,England
Lightcliffe,,Durham,England
Lindwell,,Durham,England
Lingfield,,Durham,England
Linthorpe,,Durham,England
Lintz,,Durham,England
Lintzford,,Durham,England
Lintzgarth,,Durham,England
Little Newsham,DL2,Durham,England
Little Stainton,TS21,Durham,England
Little Thorpe,SR8,Durham,England
Littletown,DH6,Durham,England
Lobley Hill,,Durham,England
Long Grain,,Durham,England
Longley,,Durham,England
Longnewton,,Durham,England
Low Dinsdale,DL2,Durham,England
Low Eighton,,Durham,England
Low Etherley,DL14,Durham,England
Low Fell,,Durham,England
Low Greenside,,Durham,England
Low Moorsley,,Durham,England
Low Thornley,,Durham,England
Low Walworth,,Durham,England
Low Westwood,,Durham,England
Lower Wyke,,Durham,England
Lowes Barn,,Durham,England
Luddenden,,Durham,England
Luddenden Foot,,Durham,England
Ludworth,DH6,Durham,England
Lumbutts,,Durham,England
Lumley Thicks,,Durham,England
Lune,,Durham,England
Lune Head Beck,,Durham,England
Lydgate,,Durham,England
Lyons,,Durham,England
Maiden Law,DH7,Durham,England
Mainsforth,,Durham,England
Maltby,,Durham,England
Mankinholes,,Durham,England
Marley Hill,NE16,Durham,England
Marley Pots,,Durham,England
Marton,,Durham,England
Marton Grove,,Durham,England
Meadowfield,,Durham,England
Medomsley,DH8,Durham,England
Merrybent,,Durham,England
Metal Bridge,,Durham,England
Mickleton,DL12,Durham,England
Middle Herrington,,Durham,England
Middle Rainton,,Durham,England
Middle Side,,Durham,England
Middlestone,,Durham,England
Middlestone Moor,DL16,Durham,England
Middleton,,Durham,England
Middleton in Teesdale,,Durham,England
Middleton St George,DL2,Durham,England
Middridge,DL4,Durham,England
Midgehole,,Durham,England
Midgley,,Durham,England
Mill Bank,,Durham,England
Millfield,,Durham,England
Mixenden,,Durham,England
Monk Hesleden,,Durham,England
Monkwearmouth,,Durham,England
Moor End,,Durham,England
Moorside,,Durham,England
Mordon,TS21,Durham,England
Morley,DL14,Durham,England
Morton Tinmouth,,Durham,England
Mount Pleasant,,Durham,England
Mount Tabor,,Durham,England
Mowden,,Durham,England
Muggleswick,DH8,Durham,England
Murton,SR7,Durham,England
Mytholm,,Durham,England
Mytholmroyd,,Durham,England
Neasham,DL2,Durham,England
Nettlesworth,,Durham,England
Nevilles Cross,,Durham,England
New Brancepeth,,Durham,England
New Coundon,,Durham,England
New Herrington,,Durham,England
New Ho,,Durham,England
New Hunwick,,Durham,England
New Kyo,,Durham,England
New Silksworth,,Durham,England
New Town,,Durham,England
Newbiggin,DL12,Durham,England
Newbottle,,Durham,England
Newfield,DH2,Durham,England
Newlands,DH8,Durham,England
Newton Aycliffe,DL5,Durham,England
Newton Bewley,,Durham,England
Newton Hall,,Durham,England
Newton Ketton,,Durham,England
Nookton Burn,,Durham,England
Norland Town,,Durham,England
North Bitchburn,,Durham,England
North Close,,Durham,England
North End,,Durham,England
North Hylton,,Durham,England
North Ormesby,,Durham,England
Northlea,,Durham,England
Northowram,,Durham,England
Norton,,Durham,England
Norwood Green,,Durham,England
Nunthorpe,,Durham,England
Oak Tree,,Durham,England
Oakenshaw,DL15,Durham,England
Offerton,,Durham,England
Ogden,,Durham,England
Old Burdon,,Durham,England
Old Cassop,,Durham,England
Old Eldon,,Durham,England
Old Fold,,Durham,England
Old Lindley,,Durham,England
Old Quarrington,,Durham,England
Old Stillington,,Durham,England
Old Town,,Durham,England
Old Wingate,,Durham,England
Ornsby Hill,,Durham,England
Ouston,DH2,Durham,England
Outlane,,Durham,England
Outlane Moor,,Durham,England
Ovenden,,Durham,England
Ovington,DL11,Durham,England
Owton Manor,,Durham,England
Oxclose,,Durham,England
Oxhill,,Durham,England
Page Bank,,Durham,England
Pallion,,Durham,England
Pallister,,Durham,England
Park End,,Durham,England
Parkside,SR7,Durham,England
Path Head,,Durham,England
Pecket Well,,Durham,England
Pelaw,,Durham,England
Pellon,,Durham,England
Pelton,DH2,Durham,England
Pelton Fell,,Durham,England
Penny Hill,,Durham,England
Pennywell,,Durham,England
Penshaw,DH4,Durham,England
Pepper Hill,,Durham,England
Perkinsville,,Durham,England
Peterlee,SR8,Durham,England
Philadelphia,,Durham,England
Phoenix Row,,Durham,England
Pickering Nook,,Durham,England
Pickwood Scar,,Durham,England
Pike End,,Durham,England
Pike Law,,Durham,England
Pittington,DH6,Durham,England
Pity Me,DH1,Durham,England
Plawsworth,DH2,Durham,England
Port Clarence,,Durham,England
Portobello,,Durham,England
Portrack,,Durham,England
Preston-le-Skerne,,Durham,England
Preston-on-Tees,,Durham,England
Priestley Green,,Durham,England
Pudsey,,Durham,England
Pule Hill,,Durham,England
Quaking Houses,,Durham,England
Quarrington Hill,DH6,Durham,England
Quebec,DH7,Durham,England
Raggalds,,Durham,England
Rainton Bridge,,Durham,England
Rainton Gate,,Durham,England
Ramsden Wood,,Durham,England
Ramshaw,,Durham,England
Rastrick,,Durham,England
Red Beck,,Durham,England
Redmarshall,TS21,Durham,England
