,,Leicestershire,England
Higham on the Hill,CV13,Leicestershire,England
Highfields,LE2,Leicestershire,England
Hinckley,LE10,Leicestershire,England
Hoby,LE14,Leicestershire,England
Hollycroft,,Leicestershire,England
Holwell,LE14,Leicestershire,England
Horninghold,LE16,Leicestershire,England
Hose,LE14,Leicestershire,England
Hoton,LE12,Leicestershire,England
Houghton on the Hill,LE7,Leicestershire,England
Hugglescote,LE67,Leicestershire,England
Humberstone,,Leicestershire,England
Huncote,LE9,Leicestershire,England
Hungarton,LE7,Leicestershire,England
Husbands Bosworth,LE17,Leicestershire,England
Ibstock,LE67,Leicestershire,England
Illston on the Hill,LE7,Leicestershire,England
Isley Walton,DE74,Leicestershire,England
Kegworth,DE74,Leicestershire,England
Keyham,LE7,Leicestershire,England
Kibworth Beauchamp,LE8,Leicestershire,England
Kibworth Harcourt,LE8,Leicestershire,England
Kilby,LE18,Leicestershire,England
Kilby Bridge,,Leicestershire,England
Kimcote,LE17,Leicestershire,England
Kirby Bellars,,Leicestershire,England
Kirby Fields,,Leicestershire,England
Kirby Muxloe,LE9,Leicestershire,England
Kirkby Mallory,LE9,Leicestershire,England
Knaptoft,,Leicestershire,England
Knighton,LE2,Leicestershire,England
Knighton Fields,,Leicestershire,England
Knipton,NG32,Leicestershire,England
Knossington,LE15,Leicestershire,England
Laughton,LE17,Leicestershire,England
Leesthorpe,,Leicestershire,England
Leicester,LE10,Leicestershire,England
Leicester Forest East,,Leicestershire,England
Leire,LE17,Leicestershire,England
Little Bowden,LE16,Leicestershire,England
Little Dalby,LE14,Leicestershire,England
Little Orton,,Leicestershire,England
Little Stretton,LE2,Leicestershire,England
Little Twycross,,Leicestershire,England
Littlethorpe,,Leicestershire,England
Lockington,DE74,Leicestershire,England
Loddington,LE7,Leicestershire,England
Long Clawson,LE14,Leicestershire,England
Long Whatton,LE12,Leicestershire,England
Long Whatton Brook,,Leicestershire,England
Loughborough,LE11,Leicestershire,England
Lount,LE65,Leicestershire,England
Lowesby,LE7,Leicestershire,England
Lubenham,LE16,Leicestershire,England
Lutterworth,LE17,Leicestershire,England
Marefield,LE15,Leicestershire,England
Market Bosworth,CV13,Leicestershire,England
Market Harborough,LE16,Leicestershire,England
Markfield,LE67,Leicestershire,England
Mease,,Leicestershire,England
Measham,DE12,Leicestershire,England
Medbourne,LE16,Leicestershire,England
Melton Mowbray,LE13,Leicestershire,England
Merry Lees,,Leicestershire,England
Misterton,LE17,Leicestershire,England
Moira,DE12,Leicestershire,England
Money Hill,,Leicestershire,England
Mountsorrel,LE12,Leicestershire,England
Mowmacre Hill,,Leicestershire,England
Mowsley,LE17,Leicestershire,England
Muston,NG13,Leicestershire,England
Nailstone,CV13,Leicestershire,England
Nanpantan,LE11,Leicestershire,England
Narborough,LE9,Leicestershire,England
Nether Broughton,LE14,Leicestershire,England
Nether End,,Leicestershire,England
Nether Hall,,Leicestershire,England
New Parks,,Leicestershire,England
New Swannington,,Leicestershire,England
Newbold,LE67,Leicestershire,England
Newbold Heath,,Leicestershire,England
Newbold Verdon,LE9,Leicestershire,England
Newton Burgoland,LE67,Leicestershire,England
Newton Harcourt,LE8,Leicestershire,England
Newtown Linford,LE6,Leicestershire,England
Newtown Unthank,LE9,Leicestershire,England
Normanton,LE15,Leicestershire,England
Normanton le Heath,LE67,Leicestershire,England
Normanton on Soar,LE12,Leicestershire,England
Normanton Turville,,Leicestershire,England
Norris Hill,DE12,Leicestershire,England
North End,,Leicestershire,England
North Evington,,Leicestershire,England
North Kilworth,LE17,Leicestershire,England
Norton-Juxta-Twycross,,Leicestershire,England
Noseley,LE7,Leicestershire,England
Oadby,LE2,Leicestershire,England
Oaks in Charnwood,,Leicestershire,England
Oakthorpe,DE12,Leicestershire,England
Odstone,CV13,Leicestershire,England
Old Dalby,LE14,Leicestershire,England
Orton-on-the-Hill,,Leicestershire,England
Osbaston,CV13,Leicestershire,England
Osbaston Hollow,,Leicestershire,England
Osgathorpe,LE12,Leicestershire,England
Outwoods,,Leicestershire,England
Owston,LE15,Leicestershire,England
Packington,LE65,Leicestershire,England
Peatling Magna,LE8,Leicestershire,England
Peatling Parva,LE17,Leicestershire,England
Peckleton,LE9,Leicestershire,England
Peggs Green,,Leicestershire,England
Pickwell,LE14,Leicestershire,England
Pinwall,,Leicestershire,England
Plungar,NG13,Leicestershire,England
Potter Hill,,Leicestershire,England
Potters Marston,,Leicestershire,England
Prestwold,LE12,Leicestershire,England
Primethorpe,LE9,Leicestershire,England
Queniborough,LE7,Leicestershire,England
Quorn (Quorndon),,Leicestershire,England
Quorndon (Quorn),,Leicestershire,England
Ragdale,LE14,Leicestershire,England
Ratby,LE6,Leicestershire,England
Ratcliffe Culey,,Leicestershire,England
Ratcliffe on Soar,,Leicestershire,England
Ratcliffe on the Wreake,LE7,Leicestershire,England
Ravenstone,LE67,Leicestershire,England
Rearsby,LE7,Leicestershire,England
Red Hill,,Leicestershire,England
Redmile,NG13,Leicestershire,England
Ringing Hill,,Leicestershire,England
Rolleston,LE7,Leicestershire,England
Rotherby,LE14,Leicestershire,England
Rothley,LE7,Leicestershire,England
Rothley Plain,,Leicestershire,England
Rushey Mead,,Leicestershire,England
Rutland Water,,Leicestershire,England
Saddington,LE8,Leicestershire,England
Saltby,LE14,Leicestershire,England
Sapcote,LE9,Leicestershire,England
Sawley,,Leicestershire,England
Saxby,LE14,Leicestershire,England
Saxelbye,LE14,Leicestershire,England
Scalford,LE14,Leicestershire,England
Scotland,,Leicestershire,England
Scraptoft,LE7,Leicestershire,England
Seagrave,LE12,Leicestershire,England
Sence,,Leicestershire,England
Sewstern,NG33,Leicestershire,England
Shackerstone,CV13,Leicestershire,England
Shangton,LE8,Leicestershire,England
Sharnford,LE10,Leicestershire,England
Shawell,LE17,Leicestershire,England
Shearsby,LE17,Leicestershire,England
Sheepy Magna,,Leicestershire,England
Sheepy Parva,,Leicestershire,England
Shellbrook,,Leicestershire,England
Shelthorpe,,Leicestershire,England
Shenton,CV13,Leicestershire,England
Shepshed,LE12,Leicestershire,England
Shoby,,Leicestershire,England
Sibson,CV13,Leicestershire,England
Sileby,LE12,Leicestershire,England
Six Hills,,Leicestershire,England
Skeffington,LE7,Leicestershire,England
Sketchley,,Leicestershire,England
Slawston,LE16,Leicestershire,England
