,,Dumfries and Galloway,Scotland
Georgetown,,Dumfries and Galloway,Scotland
Gillesbie,,Dumfries and Galloway,Scotland
Girthon,DG7,Dumfries and Galloway,Scotland
Glencaple,DG1,Dumfries and Galloway,Scotland
Glenlochar,DG7,Dumfries and Galloway,Scotland
Glenluce,DG8,Dumfries and Galloway,Scotland
Glenstockadale,,Dumfries and Galloway,Scotland
Glentrool Village,,Dumfries and Galloway,Scotland
Greenhill,,Dumfries and Galloway,Scotland
Greenlea,,Dumfries and Galloway,Scotland
Gretna,DG16,Dumfries and Galloway,Scotland
Gretna Green,DG16,Dumfries and Galloway,Scotland
Hangingshaw,DG11,Dumfries and Galloway,Scotland
Hardgate,,Dumfries and Galloway,Scotland
Haugh of Urr,DG7,Dumfries and Galloway,Scotland
Heathhall,,Dumfries and Galloway,Scotland
Heck,DG11,Dumfries and Galloway,Scotland
High Ardwell,,Dumfries and Galloway,Scotland
Hightae,DG11,Dumfries and Galloway,Scotland
Hitchill,,Dumfries and Galloway,Scotland
Hollee,DG11,Dumfries and Galloway,Scotland
Hollows,,Dumfries and Galloway,Scotland
Holmhill,,Dumfries and Galloway,Scotland
Holywood,DG2,Dumfries and Galloway,Scotland
Irongray,,Dumfries and Galloway,Scotland
Islands of Fleet,,Dumfries and Galloway,Scotland
Isle of Man,,Dumfries and Galloway,Scotland
Isle of Whithorn,DG8,Dumfries and Galloway,Scotland
Islesteps,,Dumfries and Galloway,Scotland
Johnstonebridge,DG11,Dumfries and Galloway,Scotland
Keir Mill,DG3,Dumfries and Galloway,Scotland
Kelloholm,DG4,Dumfries and Galloway,Scotland
Kelton,DG1,Dumfries and Galloway,Scotland
Kelton Hil (Rhonehouse),,Dumfries and Galloway,Scotland
Kendoon,,Dumfries and Galloway,Scotland
Kettleholm,DG11,Dumfries and Galloway,Scotland
Kingholm Quay,DG1,Dumfries and Galloway,Scotland
Kinnel Water,,Dumfries and Galloway,Scotland
Kippford (Scaur),,Dumfries and Galloway,Scotland
Kirkandrews,DG6,Dumfries and Galloway,Scotland
Kirkbean,DG2,Dumfries and Galloway,Scotland
Kirkcolm,DG9,Dumfries and Galloway,Scotland
Kirkconnel,DG4,Dumfries and Galloway,Scotland
Kirkcowan,DG8,Dumfries and Galloway,Scotland
Kirkcudbright,DG6,Dumfries and Galloway,Scotland
Kirkgunzeon,DG2,Dumfries and Galloway,Scotland
Kirkgunzeon Burn,,Dumfries and Galloway,Scotland
Kirkinner,DG8,Dumfries and Galloway,Scotland
Kirkland,DG11,Dumfries and Galloway,Scotland
Kirkmaiden,DG9,Dumfries and Galloway,Scotland
Kirkmichael Mains,,Dumfries and Galloway,Scotland
Kirkpatrick,,Dumfries and Galloway,Scotland
Kirkpatrick Durham,DG7,Dumfries and Galloway,Scotland
Kirkpatrick-Fleming,DG11,Dumfries and Galloway,Scotland
Kirkton,DG1,Dumfries and Galloway,Scotland
Kirkwood,,Dumfries and Galloway,Scotland
Kirtle,,Dumfries and Galloway,Scotland
Kirtle Water,,Dumfries and Galloway,Scotland
Kirtlebridge,DG11,Dumfries and Galloway,Scotland
Kirtleton,,Dumfries and Galloway,Scotland
Knarie Burn,,Dumfries and Galloway,Scotland
Knockbrex,DG6,Dumfries and Galloway,Scotland
Knockglass,,Dumfries and Galloway,Scotland
Knowe,DG8,Dumfries and Galloway,Scotland
Lachar Water,,Dumfries and Galloway,Scotland
Langholm,DG13,Dumfries and Galloway,Scotland
Laurieston,DG7,Dumfries and Galloway,Scotland
Leswalt,DG9,Dumfries and Galloway,Scotland
Liddle Water,,Dumfries and Galloway,Scotland
Lincluden,,Dumfries and Galloway,Scotland
